MM/DD/YYYY                              VaporCare Regional Health Insurance                   Page: 999
  HH:MM ?M                                        Customer Roster           
   
   Cust Number              Name                       Address               Registered      Balance
   
      XXXXX         XXXXXXXXXXXXXXXXXXXX    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX   MM/DD/YYYY   $9,999,999.99
      XXXXX         XXXXXXXXXXXXXXXXXXXX    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX   MM/DD/YYYY   $9,999,999.99
      XXXXX         XXXXXXXXXXXXXXXXXXXX    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX   MM/DD/YYYY   $9,999,999.99
      XXXXX         XXXXXXXXXXXXXXXXXXXX    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX   MM/DD/YYYY   $9,999,999.99
      XXXXX         XXXXXXXXXXXXXXXXXXXX    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX   MM/DD/YYYY   $9,999,999.99
     
           Total Outstanding Balance                                                    $999,999,999.99
           
           Average Outstanding Balance                                                    $9,999,999.99
           Highest Outstanding Balance                                                    $9,999,999.99
